language_variety,intent,duration_bucket,n_samples,mean_duration_s,median_duration_s,min_duration_s,max_duration_s
en-GB,freeze,>2–4 s,13,3.1192,3.1574,2.304,3.9254
en-GB,freeze,>4–8 s,17,5.7623,5.4799,4.0106,7.424
en-GB,freeze,>8 s,6,16.3176,16.2134,12.8,21.504
en-GB,high_value_payment,>2–4 s,1,2.9866,2.9866,2.9866,2.9866
en-GB,high_value_payment,>4–8 s,16,6.3253,6.4427,4.5226,7.68
en-GB,high_value_payment,>8 s,24,14.1212,13.0986,8.192,28.3306
en-GB,joint_account,>2–4 s,6,3.2285,3.2854,2.816,3.6694
en-GB,joint_account,>4–8 s,21,5.1552,4.9226,4.0868,7.168
en-GB,joint_account,>8 s,11,11.5328,12.4586,8.1734,15.0186
en-GB,latest_transactions,>2–4 s,8,3.4347,3.4133,3.1579,3.7546
en-GB,latest_transactions,>4–8 s,16,5.759,5.8454,4.352,7.4304
en-GB,latest_transactions,>8 s,18,15.337,14.8907,8.0214,34.4746
en-GB,pay_bill,≤2 s,1,1.9626,1.9626,1.9626,1.9626
en-GB,pay_bill,>2–4 s,12,3.222,3.2508,2.2186,3.901
en-GB,pay_bill,>4–8 s,18,5.3198,5.0773,4.0106,7.7654
en-GB,pay_bill,>8 s,9,11.6053,11.0528,8.3626,16.254
en-US,abroad,>2–4 s,2,3.1147,3.1147,2.304,3.9254
en-US,abroad,>4–8 s,6,6.6947,6.6868,5.632,7.7654
en-US,abroad,>8 s,26,15.3374,12.928,8.1066,42.6666
en-US,address,>2–4 s,9,3.2977,3.4986,2.4746,3.9939
en-US,address,>4–8 s,20,5.1742,4.6687,4.0106,7.8506
en-US,address,>8 s,5,10.4789,9.1306,8.3626,15.616
en-US,app_error,>2–4 s,3,3.0435,2.9866,2.4746,3.6694
en-US,app_error,>4–8 s,16,6.0328,6.1798,4.352,7.8506
en-US,app_error,>8 s,23,16.2018,13.3974,8.704,52.3946
en-US,atm_limit,>2–4 s,3,3.4987,3.584,3.1574,3.7546
en-US,atm_limit,>4–8 s,20,5.7203,5.7121,4.1814,7.5094
en-US,atm_limit,>8 s,18,15.983,12.8087,9.3866,39.168
en-US,balance,>2–4 s,11,3.3513,3.4134,2.7306,3.9254
en-US,balance,>4–8 s,24,4.9951,4.7787,4.096,6.966
en-US,balance,>8 s,6,10.8658,9.7707,8.96,15.9574
en-US,business_loan,>2–4 s,6,3.5414,3.6267,2.816,3.9254
en-US,business_loan,>4–8 s,19,5.4529,5.376,4.0106,7.424
en-US,business_loan,>8 s,14,11.7471,11.2213,8.1066,16.7254
en-US,card_issues,>2–4 s,5,3.8302,3.84,3.7546,3.901
en-US,card_issues,>4–8 s,21,5.922,5.5466,4.0106,7.936
en-US,card_issues,>8 s,20,15.4684,13.7387,8.0214,28.7574
en-US,cash_deposit,>2–4 s,12,3.4948,3.6885,2.3894,3.9254
en-US,cash_deposit,>4–8 s,22,6.1692,6.1408,4.1814,7.936
en-US,cash_deposit,>8 s,14,13.0185,10.6667,8.0214,27.4774
en-US,direct_debit,>2–4 s,7,3.5718,3.4986,3.2426,3.9254
en-US,direct_debit,>4–8 s,21,5.4469,5.2054,4.0106,7.936
en-US,direct_debit,>8 s,8,11.4659,10.1973,8.704,19.8762
en-US,freeze,>2–4 s,12,3.3421,3.328,2.9014,3.901
en-US,freeze,>4–8 s,14,5.4109,5.1626,4.352,7.168
en-US,freeze,>8 s,19,12.2171,10.3254,8.192,26.368
en-US,high_value_payment,>2–4 s,1,3.84,3.84,3.84,3.84
en-US,high_value_payment,>4–8 s,9,6.5138,6.5706,4.7786,7.68
en-US,high_value_payment,>8 s,30,13.9604,12.9442,8.3626,25.9414
en-US,joint_account,>2–4 s,8,3.4319,3.456,2.8792,3.84
en-US,joint_account,>4–8 s,19,5.585,5.2906,4.096,7.424
en-US,joint_account,>8 s,15,12.6227,10.9226,8.1066,24.2346
en-US,latest_transactions,>2–4 s,3,3.328,3.072,2.9866,3.9254
en-US,latest_transactions,>4–8 s,19,5.2589,4.864,4.096,7.424
en-US,latest_transactions,>8 s,12,16.6699,16.7608,8.1066,29.184
en-US,pay_bill,≤2 s,1,1.7066,1.7066,1.7066,1.7066
en-US,pay_bill,>2–4 s,12,3.2472,3.3358,2.2186,3.6694
en-US,pay_bill,>4–8 s,22,5.5656,5.632,4.0868,7.7654
en-US,pay_bill,>8 s,6,21.1769,13.2266,9.8134,58.4534
